EPE  List of violations found by TARA screening [TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:24 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\AllERCOTcontingencies.con (total 28174 contingencies)
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\MON.mon
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 6123 violations for snapshot 22SSWG_2025_SUM1_U1_04-study.raw
Index of Constraint, Monitored Facility                                    , Cont ID, Cont Name                                                      ,Type,   Rating,   Flow MW, Loading%, Head-Room, TotRedis,# of Harmer Up,# of Helper Down,# of External Harmer Up,Dfax Transfer,MW Transfer,MW Impact,Harmer Type,Harmer Max MW,Harmer Base MW,Harmer Bus#,BusName     ,Harmer Machine ID,Harmer Dfax Swing Ref,AreaName    ,ZoneName    ,Helper Type,Helper Max MW,Helper Base MW,Helper Room To Move Down MW (May have negative Pmin),Helper Bus#,BusName     ,Helper Machine ID,Helper Dfax Swing Ref,AreaName    ,ZoneName    ,
6015,  2432 TRICRN1_5     345    2437 FRNY1_5       345  1  , 3890,DB_ID_45685,P1,    956.0,    382.0,    39.96,    574.0,       7.7,   1,   1,   0,   0.04550,    140.91,      6.41,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00891,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.03658,,,
6016,  3283 BUTLERMT_P8   138    3279 LONGLKTA_8    138  1  ,27966,DB_ID_38117,P7,    214.0,     85.2,    39.80,    128.8,      38.8,   1,   1,   0,   0.01114,    224.79,      2.50,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00236,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00877,,,
6017,993687 21INR0203A    345    3687 BELL_E_5      345  2  ,19329,DB_ID_41313,P5,   1631.0,    649.2,    39.80,    981.8,      44.0,   1,   1,   0,   0.07284,    224.79,     16.37,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.04488,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02795,,,
6018,  3391 JEWETT_N5     345  999883 AUTO1 _18     138  1  , 4507,DB_ID_35767,P1,    750.0,    298.5,    39.81,    451.5,      57.4,   1,   1,   0,   0.02526,    140.91,      3.56,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.01149,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01377,,,
6019,  3391 JEWETT_N5     345  999883 AUTO1 _18     138  1  , 4707,DB_ID_48500,P1,    750.0,    298.5,    39.81,    451.5,      57.4,   1,   1,   0,   0.02526,    140.91,      3.56,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.01149,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01377,,,
6020,    64 MILANO        138    3683 MINERVA1_8    138  1  , 3012,DB_ID_30674,P1,    214.0,     85.0,    39.70,    129.0,      61.4,   1,   1,   0,   0.01043,    140.91,      1.47,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00548,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00495,,,
6021,    64 MILANO        138    3683 MINERVA1_8    138  1  ,27749,DB_ID_30672,P7,    214.0,     85.0,    39.70,    129.0,      61.4,   1,   1,   0,   0.01043,    140.91,      1.47,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00548,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00495,,,
6022, 44500 OBRIEN_B345A  345  999733 111575        138  A1 ,12355,DB_ID_20019,P2,   1000.0,    399.0,    39.90,    601.0,      65.0,   1,   1,   0,   0.01575,    140.91,      2.22,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
6023,999883 AUTO1 _18     138    3394 JEWETTA_8     138  1  , 4507,DB_ID_35767,P1,    750.0,    298.3,    39.78,    451.7,      65.8,   1,   1,   0,   0.02526,    224.79,      5.68,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.01149,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01377,,,
6024,999883 AUTO1 _18     138    3394 JEWETTA_8     138  1  , 4707,DB_ID_48500,P1,    750.0,    298.3,    39.78,    451.7,      65.8,   1,   1,   0,   0.02526,    224.79,      5.68,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.01149,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01377,,,
6025,  3409 LAKE_CRK1_5   345    3402 LAKE_CRK2_5   345  1  , 3478,DB_ID_36154,P1,   1792.0,    714.2,    39.85,   1077.8,      66.5,   1,   1,   0,   0.03915,    224.79,      8.80,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.03077,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00839,,,
6026,  3409 LAKE_CRK1_5   345    3402 LAKE_CRK2_5   345  1  , 3877,DB_ID_45492,P1,   1792.0,    714.2,    39.85,   1077.8,      66.5,   1,   1,   0,   0.03915,    224.79,      8.80,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.03077,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00839,,,
6027,994967 21INR0428S2  34.5  999639 NABCG2_MPT2  34.5  1  ,    0,Base Case ,Base Case,    167.0,     -0.0,    -0.00,    167.0,      66.8,   1,   1,   0,   1.00000,    140.91,    140.91,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6028,999639 NABCG2_MPT2  34.5  996967 21INR0428D2   345  1  ,    0,Base Case ,Base Case,    167.0,     -0.1,    -0.04,    167.1,      66.9,   1,   1,   0,   1.00000,    140.91,    140.91,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6029, 44500 OBRIEN_B345A  345  999733 111575        138  A1 ,12353,DB_ID_20012,P2,   1000.0,    398.9,    39.89,    601.1,      70.3,   1,   1,   0,   0.01575,    140.91,      2.22,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
6030,999733 111575        138   44510 OBRIEN_B138A  138  A1 ,12355,DB_ID_20019,P2,   1000.0,    398.8,    39.88,    601.2,      79.1,   1,   1,   0,   0.01575,    224.79,      3.54,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
