EPE  List of violations found by TARA screening [TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:24 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\AllERCOTcontingencies.con (total 28174 contingencies)
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\MON.mon
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 6123 violations for snapshot 22SSWG_2025_SUM1_U1_04-study.raw
 Monitored Facility                                    , Cont ID, Cont Name                                                      ,Type,   Rating,   Flow MW, Loading%, Head-Room, TotRedis,# of Helper Down,# of Harmer Up,# of External Harmer Up,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,19294,DB_ID_40268,P5,    535.0,   2389.9,   446.71,  -1854.9,   -2175.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,19329,DB_ID_41313,P5,    535.0,   2124.9,   397.18,  -1589.9,   -1910.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,25488,DB_ID_40229,P5,    535.0,   1727.6,   322.91,  -1192.6,   -1513.6,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,19322,DB_ID_40777,P5,    535.0,   1704.7,   318.63,  -1169.7,   -1490.7,   0,   0,   0,
 44005 W_A_P__POI5B  345   47300 JENETA__B345  345  64 ,27187,DB_ID_21993,P7,   2507.0,   2473.1,    98.65,     33.9,   -1470.3,   0,   0,   0,
  2428 WATMLL_E5     345   22427 LOOP9_5       345  1  ,18789,DB_ID_47142,P4,   1072.0,   1882.0,   175.56,   -810.0,   -1453.2,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,19349,DB_ID_41538,P5,    535.0,   1644.8,   307.44,  -1109.8,   -1430.8,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 , 1995,DB_ID_17961,P1,   1450.0,   1891.8,   130.47,   -441.8,   -1311.8,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 ,18852,DB_ID_21176,P5,   1450.0,   1891.0,   130.42,   -441.0,   -1311.0,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 , 1994,DB_ID_17960,P1,   1450.0,   1891.0,   130.42,   -441.0,   -1311.0,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,12355,DB_ID_20019,P2,   1450.0,   1868.0,   128.83,   -418.0,   -1288.0,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 ,12353,DB_ID_20012,P2,   1450.0,   1867.2,   128.78,   -417.2,   -1287.2,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 ,12352,DB_ID_20010,P2,   1450.0,   1866.5,   128.73,   -416.5,   -1286.5,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 , 9963,DB_ID_20017,P2,   1450.0,   1834.8,   126.54,   -384.8,   -1254.8,   0,   0,   0,
  5725 PAWNEESW5     345    5400 SPRUCE        345  1  ,27365,DB_ID_24023,P7,   1058.0,   1667.3,   157.59,   -609.3,   -1244.1,   0,   0,   0,
  5725 PAWNEESW5     345    5400 SPRUCE        345  1  ,27025,DB_ID_15090,P7,   1058.0,   1667.3,   157.59,   -609.3,   -1244.1,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,19354,DB_ID_41547,P5,    535.0,   1431.9,   267.65,   -896.9,   -1217.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,25038,DB_ID_39623,P5,    535.0,   1367.2,   255.55,   -832.2,   -1153.2,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,24747,DB_ID_37703_Dup1,P5,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15014,DB_ID_37749,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15013,DB_ID_37733,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15019,DB_ID_37851,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15020,DB_ID_37867,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15018,DB_ID_37834,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15015,DB_ID_37775,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15012,DB_ID_37717,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15016,DB_ID_37792,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  , 9528,DB_ID_37703,P2,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,15017,DB_ID_37808,P4,    535.0,   1346.4,   251.66,   -811.4,   -1132.4,   0,   0,   0,
994967 21INR0428S2  34.5  999639 NABCG2_MPT2  34.5  1  ,19294,DB_ID_40268,P5,    167.0,   1195.0,   715.59,  -1028.0,   -1128.2,   0,   0,   0,
999639 NABCG2_MPT2  34.5  996967 21INR0428D2   345  1  ,19294,DB_ID_40268,P5,    167.0,   1195.0,   715.54,  -1028.0,   -1128.2,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,28123,DB_ID_46398,P7,    535.0,   1341.7,   250.79,   -806.7,   -1127.7,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  2  ,18398,DB_ID_23312_Dup1,P4,   1186.0,   1565.8,   132.02,   -379.8,   -1091.4,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  1  ,13891,DB_ID_23314,P2,   1186.0,   1565.8,   132.02,   -379.8,   -1091.4,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  1  ,18399,DB_ID_23314_Dup1,P4,   1186.0,   1565.8,   132.02,   -379.8,   -1091.4,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  2  ,13890,DB_ID_23312,P2,   1186.0,   1565.8,   132.02,   -379.8,   -1091.4,   0,   0,   0,
995967 21INR0428S1  34.5  999638 NABCG2_MPT1  34.5  1  ,19294,DB_ID_40268,P5,    263.0,   1195.0,   454.38,   -932.0,   -1089.8,   0,   0,   0,
999638 NABCG2_MPT1  34.5  997967 21INR0428D1   345  1  ,19294,DB_ID_40268,P5,    263.0,   1194.9,   454.34,   -931.9,   -1089.7,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,18557,DB_ID_23699_Dup1,P4,    535.0,   1300.9,   243.15,   -765.9,   -1086.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,18802,DB_ID_23698,P5,    535.0,   1300.9,   243.15,   -765.9,   -1086.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,14049,DB_ID_23699,P2,    535.0,   1300.9,   243.15,   -765.9,   -1086.9,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,  234,DB_ID_17356,P1,    535.0,   1293.0,   241.69,   -758.0,   -1079.0,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  ,   15,DB_ID_639,P1,    535.0,   1293.0,   241.69,   -758.0,   -1079.0,   0,   0,   0,
998967 21INR0428B    345  999967 21INR0428A    345  1  , 9984,DB_ID_20480,P2,    535.0,   1293.0,   241.69,   -758.0,   -1079.0,   0,   0,   0,
 47300 JENETA__B345  345   46600 WHITOK__B345  345  72 ,10001,DB_ID_20749,P2,   1924.0,   1847.8,    96.04,     76.2,   -1078.2,   0,   0,   0,
 47300 JENETA__B345  345   46600 WHITOK__B345  345  72 ,27276,DB_ID_22273,P7,   1924.0,   1847.8,    96.04,     76.2,   -1078.2,   0,   0,   0,
994967 21INR0428S2  34.5  999639 NABCG2_MPT2  34.5  1  ,19329,DB_ID_41313,P5,    167.0,   1062.6,   636.26,   -895.6,    -995.8,   0,   0,   0,
999639 NABCG2_MPT2  34.5  996967 21INR0428D2   345  1  ,19329,DB_ID_41313,P5,    167.0,   1062.5,   636.22,   -895.5,    -995.7,   0,   0,   0,
995967 21INR0428S1  34.5  999638 NABCG2_MPT1  34.5  1  ,19329,DB_ID_41313,P5,    263.0,   1062.6,   404.01,   -799.6,    -957.4,   0,   0,   0,
999638 NABCG2_MPT1  34.5  997967 21INR0428D1   345  1  ,19329,DB_ID_41313,P5,    263.0,   1062.4,   403.97,   -799.4,    -957.2,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,27809,DB_ID_32375,P7,   1911.0,   1714.3,    89.71,    196.7,    -949.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,27810,DB_ID_32382,P7,   1911.0,   1714.3,    89.71,    196.7,    -949.9,   0,   0,   0,
 44000 W_A_P__POI5A  345   47300 JENETA__B345  345  72 ,27276,DB_ID_22273,P7,   1971.0,   1732.7,    87.91,    238.3,    -944.3,   0,   0,   0,
 44000 W_A_P__POI5A  345   47300 JENETA__B345  345  72 ,10001,DB_ID_20749,P2,   1971.0,   1732.7,    87.91,    238.3,    -944.3,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15803,DB_ID_32570,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15804,DB_ID_32576,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15805,DB_ID_32582,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15806,DB_ID_32588,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  , 9517,DB_ID_32536,P2,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15802,DB_ID_32564,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,15799,DB_ID_32542,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,17820,DB_ID_32536_Dup1,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,14992,DB_ID_32536_Dup1,P4,   1911.0,   1681.3,    87.98,    229.7,    -916.9,   0,   0,   0,
  1895 MITCHBND2_5   345    2285 CARMICHL_5    345  1  ,19271,DB_ID_39917,P5,   1911.0,   1668.5,    87.31,    242.5,    -904.1,   0,   0,   0,
110015 WAP_WAP_G5   20.0   49216 GENWAP5_05_8  138  G1 , 1253,DB_ID_9041,P1,    800.0,   1217.7,   152.22,   -417.7,    -897.7,   0,   0,   0,
110015 WAP_WAP_G5   20.0   49216 GENWAP5_05_8  138  G1 ,19186,DB_ID_13204,P5,    800.0,   1217.7,   152.22,   -417.7,    -897.7,   0,   0,   0,
110015 WAP_WAP_G5   20.0   49216 GENWAP5_05_8  138  G1 ,19191,DB_ID_13210,P5,    800.0,   1217.7,   152.22,   -417.7,    -897.7,   0,   0,   0,
110015 WAP_WAP_G5   20.0   49216 GENWAP5_05_8  138  G1 , 6382,DB_ID_9041_Dup1,P2,    800.0,   1217.7,   152.22,   -417.7,    -897.7,   0,   0,   0,
110015 WAP_WAP_G5   20.0   49216 GENWAP5_05_8  138  G1 ,19189,DB_ID_13207,P5,    800.0,   1217.7,   152.22,   -417.7,    -897.7,   0,   0,   0,
150111 CPSES_UNIT1  22.0    1900 COMCHPKW_5    345  1  , 4637,DB_ID_48410,P1,    781.0,   1203.2,   154.06,   -422.2,    -890.8,   0,   0,   0,
150111 CPSES_UNIT1  22.0    1900 COMCHPKW_5    345  2  , 4635,DB_ID_48408,P1,    781.0,   1203.2,   154.06,   -422.2,    -890.8,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  1  , 2256,DB_ID_24012,P1,   1186.0,   1364.1,   115.02,   -178.1,    -889.7,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  2  , 2516,DB_ID_27665,P1,   1186.0,   1364.1,   115.02,   -178.1,    -889.7,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  1  , 2517,DB_ID_27666,P1,   1186.0,   1364.1,   115.02,   -178.1,    -889.7,   0,   0,   0,
  5133 ELMCREEK      345    7044 L_MARION5_1Y  345  2  , 2255,DB_ID_24011,P1,   1186.0,   1364.1,   115.02,   -178.1,    -889.7,   0,   0,   0,
  5915 SO_TEX__345A  345   44000 W_A_P__POI5A  345  39 ,27203,DB_ID_22037,P7,   1195.0,   1364.5,   114.18,   -169.5,    -886.5,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,27124,DB_ID_21753,P7,   1450.0,   1462.1,   100.83,    -12.1,    -882.1,   0,   0,   0,
150112 CPSES_UNIT2  22.0    1900 COMCHPKW_5    345  2  , 4636,DB_ID_48409,P1,    781.0,   1193.2,   152.78,   -412.2,    -880.8,   0,   0,   0,
150112 CPSES_UNIT2  22.0    1900 COMCHPKW_5    345  1  , 4638,DB_ID_48411,P1,    781.0,   1193.2,   152.78,   -412.2,    -880.8,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 ,27124,DB_ID_21753,P7,   1450.0,   1460.7,   100.74,    -10.7,    -880.7,   0,   0,   0,
  5725 PAWNEESW5     345    5400 SPRUCE        345  1  ,13893,DB_ID_23318,P2,   1058.0,   1282.7,   121.24,   -224.7,    -859.5,   0,   0,   0,
  5725 PAWNEESW5     345    5400 SPRUCE        345  1  ,18401,DB_ID_23318_Dup1,P4,   1058.0,   1282.7,   121.24,   -224.7,    -859.5,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 , 9943,DB_ID_19697,P2,   1450.0,   1438.1,    99.18,     11.9,    -858.1,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,27197,DB_ID_22021,P7,   1450.0,   1438.1,    99.18,     11.9,    -858.1,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 ,27197,DB_ID_22021,P7,   1450.0,   1436.7,    99.08,     13.3,    -856.7,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  99 , 9943,DB_ID_19697,P2,   1450.0,   1436.7,    99.08,     13.3,    -856.7,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  , 9524,DB_ID_36292,P2,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,19350,DB_ID_41539,P5,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,14997,DB_ID_36209,P4,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,14999,DB_ID_36217,P4,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  , 3711,DB_ID_42812,P1,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,15570,DB_ID_36221_Dup1,P4,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,14998,DB_ID_36213,P4,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  , 9523,DB_ID_36177,P2,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  3384 STJOHNS_5     345    3390 JEWETT_S5     345  1  ,15000,DB_ID_36221,P4,   1072.0,   1285.1,   119.88,   -213.1,    -856.3,   0,   0,   0,
  8689 TANGO7A       345    5725 PAWNEESW5     345  1  ,22479,DB_ID_12844,P5,   1057.0,   1272.1,   120.35,   -215.1,    -849.3,   0,   0,   0,
  5915 SO_TEX__345A  345   44000 W_A_P__POI5A  345  39 ,27204,DB_ID_22039,P7,   1195.0,   1320.8,   110.53,   -125.8,    -842.8,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,18856,DB_ID_21180,P5,   1450.0,   1422.7,    98.12,     27.3,    -842.7,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 , 1965,DB_ID_17929,P1,   1450.0,   1422.7,    98.12,     27.3,    -842.7,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,12317,DB_ID_19882,P2,   1450.0,   1422.6,    98.11,     27.4,    -842.6,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 , 9956,DB_ID_19884,P2,   1450.0,   1422.6,    98.11,     27.4,    -842.6,   0,   0,   0,
 44000 W_A_P__POI5A  345   44500 OBRIEN_B345A  345  98 ,12266,DB_ID_19693,P2,   1450.0,   1422.3,    98.09,     27.7,    -842.3,   0,   0,   0,
