Zone summary . Client-EPE
   Created - Fri Jul 21 13:12:30 2023. TARA Ver 2301.2.0.0 64-bit. LFCase-22SSWG_2025_SUM1_U1_04-study.raw. Rev-PTI35
 Zone, ZoneName    ,Buses, NTies,    TotGen, MaxGenOnl, MaxGenOff,   LoadAct,   LoadNom,  Load_DER, LdInDifZone, LdFrDifZone, shuntLoss, TotLosses, ZoneInterTies, ZoneInterExtLd,
   1, TEMPORARY   ,    33,    32,     821.9,    2559.9,    2559.9,      15.9,      15.9,       0.0,      44.0,      15.9,       0.0,       2.5,     775.4,     803.4,
   2, BRYAN       ,    47,    19,       0.0,       0.0,       9.6,     491.6,     491.6,       0.0,      57.7,      17.1,       0.0,       7.2,    -539.4,    -498.7,
   3, DENTON      ,    23,    18,       0.0,       0.0,       0.0,     692.0,     692.0,       0.0,       0.0,      23.3,       0.0,       1.4,    -670.1,    -693.3,
   4, GARLAND     ,    55,    45,       0.0,       0.0,       0.0,     616.9,     616.9,       0.0,       0.0,     108.1,       0.0,       7.5,    -516.3,    -624.3,
   5, GRNVILLE    ,     9,    10,       0.0,       0.0,       0.0,     117.9,     117.9,       0.0,       0.0,      20.1,       0.0,       0.4,     -98.2,    -118.3,
   6, TMPA        ,    38,    49,       0.0,       0.0,       0.0,       9.9,       9.9,       0.0,      43.4,       0.0,       0.0,       5.3,     -58.5,     -15.2,
  11, BEPC        ,   235,   192,       0.0,       0.0,       1.3,    2363.6,    2363.6,       0.0,     130.7,     127.2,       0.0,      34.5,   -2401.6,   -2398.1,
  12, LUBBOCK     ,    48,    13,       0.0,       0.0,       0.0,     461.6,     461.6,       0.0,       0.0,       0.0,       0.0,       2.3,    -463.9,    -463.9,
  13, BEPC_ARCHER ,     4,     5,       0.0,       0.0,       0.0,       7.5,       7.5,       0.0,       0.0,       0.0,       0.0,       0.0,      -7.6,      -7.6,
  15, BEPC_BAYLOR ,     5,     3,       0.0,       0.0,       0.0,       7.9,       7.9,       0.0,       8.1,       0.0,       0.0,       0.0,     -16.1,      -8.0,
  16, BEPC_BELL   ,    12,    14,       0.0,       0.0,       0.0,      47.6,      47.6,       0.0,       2.8,       0.0,       0.0,       3.6,     -54.0,     -51.2,
  17, BEPC_BOSQUE ,    13,    19,       8.1,      10.0,      10.0,      28.3,      28.3,       0.0,       0.0,       0.0,       0.0,       3.5,     -23.7,     -23.7,
  18, BEPC_BRAZOS ,     1,     1,       0.0,       0.0,       0.0,       5.6,       5.6,       0.0,       0.0,       0.0,       0.0,       0.9,      -6.5,      -6.5,
  19, BEPC_BROWN  ,     2,     3,       0.0,       0.0,       0.0,       5.8,       5.8,       0.0,       0.0,       0.0,       0.0,       0.0,      -5.8,      -5.8,
  20, BEPC_CHILDRE,     1,     2,       0.0,       0.0,       0.0,       4.8,       4.8,       0.0,       0.0,       0.0,       0.0,       0.0,      -4.8,      -4.8,
  21, BEPC_CLAY   ,     5,     6,       0.0,       0.0,       0.0,       7.7,       7.7,       0.0,       3.7,       0.0,       0.0,       0.1,     -11.5,      -7.8,
  22, BEPC_COLLIN ,     9,    12,       0.0,       0.0,       1.3,     461.2,     461.2,       0.0,       0.0,       0.0,       0.0,       3.9,    -465.2,    -465.2,
  23, BEPC_COMANCH,    11,    11,       0.0,       0.0,       0.0,      52.9,      52.9,       0.0,      10.4,       0.0,       0.0,       1.0,     -64.3,     -53.9,
  24, BEPC_COOKE  ,    18,     8,       0.0,       0.0,       0.0,      71.4,      71.4,       0.0,       4.5,       0.0,       0.0,       1.5,     -77.4,     -72.9,
  25, BEPC_CORYELL,     8,     5,       0.0,       0.0,       0.0,      26.8,      26.8,       0.0,       0.0,       0.0,       0.0,       0.5,     -27.3,     -27.3,
  26, BEPC_COTTLE ,     1,     1,       0.0,       0.0,       0.0,       2.4,       2.4,       0.0,       0.0,       0.0,       0.0,       0.0,      -2.4,      -2.4,
  27, BEPC_CROSBY ,     1,     1,       0.0,       0.0,       0.0,       7.1,       7.1,       0.0,       0.0,       0.0,       0.0,       0.1,      -7.2,      -7.2,
  28, BEPC_DALLAS ,     2,     7,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,
  29, BEPC_DENTON ,    44,    41,       1.6,       2.0,       9.3,    1182.8,    1182.8,       0.0,      62.1,       0.0,       0.0,       5.3,   -1248.6,   -1186.5,
  30, BEPC_DICKENS,     1,     1,       0.0,       0.0,       0.0,       3.0,       3.0,       0.0,       0.0,       0.0,       0.0,       0.0,      -3.0,      -3.0,
  31, BEPC_EASTLAN,     2,     3,       0.0,       0.0,       0.0,      32.2,      32.2,       0.0,       0.0,       0.0,       0.0,       0.1,     -32.2,     -32.2,
  32, BEPC_ELLIS  ,    19,    21,       0.0,       0.0,       0.0,     205.1,     205.1,       0.0,       0.0,       0.0,       0.0,       1.1,    -206.3,    -206.3,
  33, BEPC_ERATH  ,    11,     8,       8.1,      10.0,      10.0,      64.8,      64.8,       0.0,      11.8,       0.0,       0.0,       0.2,     -68.7,     -56.9,
  34, BEPC_FALLS  ,     5,     5,       0.0,       0.0,       0.0,      18.9,      18.9,       0.0,       0.0,       0.0,       0.0,       0.4,     -19.3,     -19.3,
  35, BEPC_FOARD  ,     0,     0,       0.0,       0.0,       0.0,       0.8,       0.8,       0.0,       0.0,       0.8,       0.0,       0.0,       0.0,      -0.8,
  36, BEPC_FREESTO,     4,     6,       0.0,       0.0,       0.0,      22.3,      22.3,       0.0,      10.7,       0.0,       0.0,       0.0,     -33.0,     -22.3,
  37, BEPC_GRAYSON,     2,     3,       0.0,       0.0,       0.0,       4.3,       4.3,       0.0,       9.9,       0.0,       0.0,       0.4,     -14.5,      -4.6,
  38, BEPC_GRIMES ,     9,     8,       0.0,       0.0,       0.0,      54.7,      54.7,       0.0,       0.0,       0.0,       0.0,       0.6,     -55.2,     -55.2,
  40, BEPC_HAMILTO,     1,     3,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,
  41, BEPC_HARDEMA,     0,     0,       0.0,       0.0,       0.0,       2.7,       2.7,       0.0,       0.0,       2.7,       0.0,       0.0,       0.0,      -2.7,
  42, BEPC_HASKELL,     2,     3,       0.0,       0.0,       0.0,       8.0,       8.0,       0.0,       0.0,       0.0,       0.0,       0.0,      -8.0,      -8.0,
  44, BEPC_HOOD   ,     0,     0,       0.0,       0.0,       0.0,      46.3,      46.3,       0.0,       0.0,      46.3,       0.0,       0.0,       0.0,     -46.3,
  45, BEPC_JACK   ,     1,     1,       0.0,       0.0,       0.0,       3.3,       3.3,       0.0,       0.0,       0.0,       0.0,       0.0,      -3.3,      -3.3,
  47, BEPC_KENT   ,     7,     9,       0.0,       0.0,       0.0,      66.0,      66.0,       0.0,       0.0,       0.0,       0.0,       0.0,     -66.0,     -66.0,
  48, BEPC_KING   ,     4,     3,       0.0,       0.0,       0.0,      38.2,      38.2,       0.0,       0.0,       0.0,       0.0,       0.2,     -38.4,     -38.4,
  49, BEPC_KNOX   ,     0,     0,       0.0,       0.0,       0.0,       3.2,       3.2,       0.0,       0.0,       3.2,       0.0,       0.0,       0.0,      -3.2,
  50, BEPC_LAMPASA,     1,     1,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      10.9,       0.0,       0.0,       0.0,     -10.9,       0.0,
  51, BEPC_LEON   ,     6,     8,       0.0,       0.0,       0.0,      30.2,      30.2,       0.0,       0.0,       0.0,       0.0,       0.5,     -30.7,     -30.7,
  53, BEPC_MADISON,     1,     2,       0.0,       0.0,       0.0,       4.5,       4.5,       0.0,       0.0,       0.0,       0.0,       0.2,      -4.6,      -4.6,
  55, BEPC_MILAM  ,     9,     9,       0.0,       0.0,       0.0,      40.7,      40.7,       0.0,       1.5,       0.0,       0.0,       1.4,     -43.6,     -42.1,
  57, BEPC_MONTAGU,    16,     9,       0.0,       0.0,       0.0,      40.1,      40.1,       0.0,      17.1,       0.0,       0.0,       1.4,     -58.5,     -41.5,
  62, BEPC_ROBERTS,    13,    10,       0.0,       0.0,       0.0,      24.5,      24.5,       0.0,      11.3,       0.0,       0.0,       0.7,     -36.5,     -25.2,
  63, BEPC_SCURRY ,     1,     3,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,
  67, BEPC_STONEWA,     2,     2,       0.0,       0.0,       0.0,       4.3,       4.3,       0.0,       0.0,       0.0,       0.0,       0.1,      -4.4,      -4.4,
  70, BEPC_WALKER ,     1,     1,       0.0,       0.0,       0.0,       6.7,       6.7,       0.0,       0.0,       0.0,       0.0,       0.0,      -6.7,      -6.7,
  71, BEPC_WILLIAM,     1,     2,       0.0,       0.0,       0.0,      21.1,      21.1,       0.0,       0.0,       0.0,       0.0,       0.1,     -21.1,     -21.1,
 102, O_RUSK      ,    11,    15,       0.0,       0.0,       0.0,       6.9,       6.9,       0.0,       0.0,       0.0,       0.0,       1.6,      -8.4,      -8.4,
 103, O_NACOGDOCHE,    17,    13,       0.0,       0.0,       7.5,     151.8,     151.8,       0.0,       0.0,       0.0,       0.0,       3.7,    -155.5,    -155.5,
 104, O_ANGELINA  ,    31,    11,       0.0,       0.0,       0.0,     366.0,     366.0,       0.0,       0.0,       0.0,       0.0,       2.1,    -368.1,    -368.1,
 105, O_SMITH     ,    48,    25,       0.0,       0.0,       0.0,     704.1,     704.1,       0.0,       0.0,       0.0,       0.0,      41.4,    -745.5,    -745.5,
 106, O_CHEROKEE  ,    29,    17,       0.0,       0.0,       0.0,      96.7,      96.7,       0.0,       0.0,       0.0,       0.0,       6.5,    -103.2,    -103.2,
 107, O_HOUSTON   ,    11,     6,       0.0,       0.0,       0.0,      38.4,      38.4,       0.0,       0.0,       0.0,       0.0,       0.3,     -38.7,     -38.7,
 108, O_ANDERSON  ,    22,    14,       0.0,       0.0,       0.0,     120.3,     120.3,       0.0,       0.0,       4.7,       0.0,       2.2,    -117.8,    -122.5,
 109, O_HENDERSON ,    33,    28,       0.0,       0.0,       0.0,     187.1,     187.1,       0.0,       0.0,       0.0,       0.0,      30.4,    -217.5,    -217.5,
 110, O_VANZANDT  ,    13,    13,       0.0,       0.0,       0.0,      66.2,      66.2,       0.0,       0.0,       0.0,       0.0,       2.0,     -68.2,     -68.2,
 113, O_KAUFMAN   ,    57,    40,       0.0,       0.0,       5.7,     658.2,     658.2,       0.0,      16.8,       0.0,       0.0,      15.0,    -690.1,    -673.2,
 114, O_DALLAS    ,   568,    81,       0.0,       0.0,      12.0,    8962.3,    8962.3,       0.0,     110.1,      87.9,       0.0,      95.4,   -9080.0,   -9057.7,
 115, O_ELLIS     ,    70,    49,       0.0,       0.0,       2.4,    1125.9,    1125.9,       0.0,     133.9,     102.0,       0.0,      11.2,   -1168.9,   -1137.1,
 118, O_TARRANT   ,   317,    75,       0.0,       0.0,      17.9,    6336.6,    6336.6,       0.0,      40.5,      68.9,       0.0,      64.3,   -6372.5,   -6400.9,
 119, O_JOHNSON   ,    15,    11,       0.0,       0.0,       0.0,     198.9,     198.9,       0.0,      15.9,       0.0,       0.0,       3.3,    -218.2,    -202.2,
 120, O_HOOD      ,    28,    25,      85.4,     108.0,     108.0,      22.0,      22.0,       0.0,       0.0,       0.0,       0.0,      19.6,      43.8,      43.8,
 121, O_PARKER    ,    18,    25,       0.0,       0.0,       1.2,     131.9,     131.9,       0.0,       0.0,       0.0,       0.0,       5.3,    -137.2,    -137.2,
 125, O_EASTLAND  ,    24,    14,       0.0,       0.0,       0.0,     125.5,     125.5,       0.0,       0.0,       0.0,       0.0,       7.4,    -132.9,    -132.9,
 126, O_ERATH     ,    26,    21,       0.0,       0.0,      13.8,     153.5,     153.5,       0.0,       0.0,       0.0,       0.0,       6.7,    -160.2,    -160.2,
 127, O_BOSQUE    ,     4,     7,       0.0,       0.0,       0.0,       0.7,       0.7,       0.0,       0.0,       0.0,       0.0,       4.4,      -5.1,      -5.1,
 128, O_HILL      ,    15,    23,       0.0,       0.0,       0.0,      57.8,      57.8,       0.0,       0.0,       0.0,       0.0,       8.3,     -66.1,     -66.1,
 129, O_NAVARRO   ,    36,    26,       0.0,       0.0,       0.0,     170.1,     170.1,       0.0,       0.0,       0.0,       0.0,      12.2,    -182.4,    -182.4,
 130, O_FREESTONE ,    23,    27,       0.0,       0.0,       0.0,     105.8,     105.8,       0.0,       0.0,       0.0,       0.0,       9.8,    -115.6,    -115.6,
 131, O_LEON      ,    18,    19,       0.0,       0.0,       0.0,     107.8,     107.8,       0.0,       0.0,       0.0,       0.0,       5.7,    -113.4,    -113.4,
 132, O_LIMESTONE ,     9,     5,       0.0,       0.0,       0.0,      58.6,      58.6,       0.0,       0.0,       0.0,       0.0,       0.9,     -59.5,     -59.5,
 133, O_ROBERTSON ,     1,     9,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       1.6,      -1.6,      -1.6,
 134, O_FALLS     ,    16,    13,       4.3,       5.3,       5.3,      41.2,      41.2,       0.0,       0.0,       0.0,       0.0,       1.1,     -38.0,     -38.0,
 135, O_MCLENNAN  ,    77,    26,      12.2,      15.0,      17.0,     752.4,     752.4,       0.0,       0.0,       0.0,       0.0,      12.5,    -752.7,    -752.7,
 136, O_BELL      ,    75,    30,       0.0,       0.0,       8.3,    1404.1,    1404.1,       0.0,       0.0,       0.0,       0.0,      27.0,   -1431.1,   -1431.1,
 137, O_MILAM     ,    22,    20,       0.0,       0.0,       0.0,    1102.4,    1102.4,       0.0,       0.0,       0.0,       0.0,       6.9,   -1109.3,   -1109.3,
 138, O_WILLIAMSON,    60,    32,       0.0,       0.0,       7.6,    1434.4,    1434.4,       0.0,       0.0,       0.0,       0.0,       8.9,   -1443.3,   -1443.3,
 139, O_CORYELL   ,     5,     4,       0.0,       0.0,       1.2,      80.1,      80.1,       0.0,       0.0,       0.0,       0.0,       0.9,     -81.0,     -81.0,
 141, O_COMANCHE  ,    16,    17,       0.0,       0.0,       0.0,      22.0,      22.0,       0.0,       0.0,       0.0,       0.0,       0.8,     -22.8,     -22.8,
 142, O_BROWN     ,    20,    19,       0.0,       0.0,       0.0,     137.6,     137.6,       0.0,       0.0,      19.4,       0.0,       2.5,    -120.7,    -140.0,
 143, O_MCCULLOCH ,     7,     8,       0.0,       0.0,       0.0,      22.1,      22.1,       0.0,       0.0,       0.0,       0.0,       0.0,     -22.2,     -22.2,
 145, O_TITUS     ,     9,    13,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       3.3,      -3.3,      -3.3,
 146, O_LAMAR     ,    34,    23,       0.0,       0.0,       0.0,     139.3,     139.3,       0.0,       0.0,       0.0,       0.0,       5.6,    -144.8,    -144.8,
 147, O_HOPKINS   ,    24,    25,       0.0,       0.0,       0.0,      99.1,      99.1,       0.0,       0.0,       0.0,       0.0,      19.7,    -118.8,    -118.8,
 148, O_HUNT      ,    20,    15,      16.2,      20.0,      20.0,      98.9,      98.9,       0.0,       0.0,       0.0,       0.0,       4.2,     -86.8,     -86.8,
 149, O_FANNIN    ,    19,    21,       0.0,       0.0,       0.0,      49.0,      49.0,       0.0,       0.0,       0.0,       0.0,       9.5,     -58.5,     -58.5,
 150, O_GRAYSON   ,    45,    26,      16.4,      20.3,      21.5,     452.7,     452.7,       0.0,       0.0,       0.0,       0.0,      10.5,    -446.8,    -446.8,
 151, O_COLLIN    ,   131,    76,       0.0,       0.0,       2.4,    2271.9,    2271.9,       0.0,      22.4,      50.8,       0.0,      83.1,   -2326.5,   -2354.9,
 152, O_DENTON    ,    60,    81,       7.1,       8.8,      10.0,    1049.3,    1049.3,       0.0,      31.4,       0.0,       0.0,      23.5,   -1097.1,   -1065.6,
 153, O_COOKE     ,    15,    10,       4.2,       5.2,       5.2,      66.7,      66.7,       0.0,       0.0,       0.0,       0.0,       1.0,     -63.5,     -63.5,
 154, O_CLAY      ,    20,    19,       0.0,       0.0,       0.0,      22.6,      22.6,       0.0,       0.0,       0.0,       0.0,       3.9,     -26.5,     -26.5,
 155, O_WISE      ,    24,    30,       0.0,       0.0,       0.0,     113.6,     113.6,       0.0,       0.0,       0.0,       0.0,       6.9,    -120.5,    -120.5,
 156, O_JACK      ,    23,    30,       0.0,       0.0,       0.0,      46.5,      46.5,       0.0,       0.0,       0.0,       0.0,       4.2,     -50.7,     -50.7,
 157, O_WICHITA   ,    50,    16,       0.0,       0.0,       1.2,     462.8,     462.8,       0.0,       0.0,       0.0,       0.0,       3.3,    -466.1,    -466.1,
 158, O_ARCHER    ,    30,    25,       0.0,       0.0,       0.0,      22.7,      22.7,       0.0,       0.0,       0.0,       0.0,       1.8,     -24.5,     -24.5,
 160, ODESSA      ,    22,    29,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      13.1,     -13.1,     -13.1,
 161, O_SHACKELFOR,     5,    10,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       2.2,      -2.2,      -2.2,
 162, O_HASKELL   ,     2,     2,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      36.1,       0.0,       0.0,       0.0,     -36.1,      -0.0,
